594 [4.91e-03, 1.82e-01]
595 [4.87e-03, 1.80e-01]
596 [4.84e-03, 1.79e-01]
597 [4.80e-03, 1.78e-01]
598 [4.76e-03, 1.77e-01]
599 [4.72e-03, 1.76e-01]
600 [4.68e-03, 1.74e-01]
601 [4.64e-03, 1.73e-01]
602 [4.60e-03, 1.72e-01]
603 [4.57e-03, 1.71e-01]
604 [4.53e-03, 1.70e-01]
605 [4.49e-03, 1.68e-01]
606 [4.45e-03, 1.67e-01]
607 [4.42e-03, 1.66e-01]
608 [4.38e-03, 1.65e-01]
609 [4.34e-03, 1.64e-01]
610 [4.31e-03, 1.62e-01]
611 [4.27e-03, 1.61e-01]
612 [4.24e-03, 1.60e-01]
613 [4.20e-03, 1.59e-01]
614 [4.17e-03, 1.58e-01]
615 [4.13e-03, 1.57e-01]
616 [4.10e-03, 1.56e-01]
617 [4.06e-03, 1.54e-01]
618 [4.03e-03, 1.53e-01]
619 [3.99e-03, 1.52e-01]
620 [3.96e-03, 1.51e-01]
621 [3.92e-03, 1.50e-01]
622 [3.89e-03, 1.49e-01]
623 [3.86e-03, 1.48e-01]
624 [3.82e-03, 1.47e-01]
625 [3.79e-03, 1.46e-01]
626 [3.76e-03, 1.44e-01]
627 [3.72e-03, 1.43e-01]
628 [3.69e-03, 1.42e-01]
629 [3.66e-03, 1.41e-01]
630 [3.63e-03, 1.40e-01]
631 [3.59e-03, 1.39e-01]
632 [3.56e-03, 1.38e-01]
633 [3.53e-03, 1.37e-01]
634 [3.50e-03, 1.36e-01]
635 [3.47e-03, 1.35e-01]
636 [3.44e-03, 1.34e-01]
637 [3.40e-03, 1.33e-01]
638 [3.37e-03, 1.32e-01]
639 [3.34e-03, 1.31e-01]
640 [3.31e-03, 1.30e-01]
641 [3.28e-03, 1.28e-01]
642 [3.25e-03, 1.27e-01]
643 [3.22e-03, 1.26e-01]
644 [3.19e-03, 1.25e-01]
645 [3.16e-03, 1.24e-01]
646 [3.13e-03, 1.23e-01]
647 [3.11e-03, 1.22e-01]
648 [3.08e-03, 1.21e-01]
649 [3.05e-03, 1.20e-01]
650 [3.02e-03, 1.19e-01]
651 [2.99e-03, 1.18e-01]
652 [2.96e-03, 1.17e-01]
653 [2.93e-03, 1.16e-01]
654 [2.91e-03, 1.16e-01]
655 [2.88e-03, 1.15e-01]
656 [2.85e-03, 1.14e-01]
657 [2.82e-03, 1.13e-01]
658 [2.80e-03, 1.12e-01]
659 [2.77e-03, 1.11e-01]
660 [2.74e-03, 1.10e-01]
661 [2.72e-03, 1.09e-01]
662 [2.69e-03, 1.08e-01]
663 [2.66e-03, 1.07e-01]
664 [2.64e-03, 1.06e-01]
665 [2.61e-03, 1.05e-01]
666 [2.59e-03, 1.04e-01]
667 [2.56e-03, 1.03e-01]
668 [2.54e-03, 1.02e-01]
669 [2.51e-03, 1.01e-01]
670 [2.49e-03, 1.01e-01]
671 [2.46e-03, 9.97e-02]
672 [2.44e-03, 9.88e-02]
673 [2.41e-03, 9.79e-02]
674 [2.39e-03, 9.71e-02]
675 [2.36e-03, 9.62e-02]
676 [2.34e-03, 9.53e-02]
677 [2.32e-03, 9.44e-02]
678 [2.29e-03, 9.36e-02]
679 [2.27e-03, 9.27e-02]
680 [2.24e-03, 9.19e-02]
681 [2.22e-03, 9.10e-02]
682 [2.20e-03, 9.02e-02]
683 [2.18e-03, 8.93e-02]
684 [2.15e-03, 8.85e-02]
685 [2.13e-03, 8.77e-02]
686 [2.11e-03, 8.69e-02]
687 [2.09e-03, 8.60e-02]
688 [2.06e-03, 8.52e-02]
689 [2.04e-03, 8.44e-02]
