457 [4.43e-01, 2.91e-01]
458 [4.43e-01, 2.91e-01]
459 [4.43e-01, 2.91e-01]
460 [4.43e-01, 2.91e-01]
461 [4.43e-01, 2.91e-01]
462 [4.43e-01, 2.91e-01]
463 [4.43e-01, 2.90e-01]
464 [4.43e-01, 2.90e-01]
465 [4.43e-01, 2.90e-01]
466 [4.43e-01, 2.90e-01]
467 [4.43e-01, 2.90e-01]
468 [4.43e-01, 2.90e-01]
469 [4.43e-01, 2.90e-01]
470 [4.43e-01, 2.90e-01]
471 [4.43e-01, 2.90e-01]
472 [4.43e-01, 2.90e-01]
473 [4.43e-01, 2.90e-01]
474 [4.43e-01, 2.90e-01]
475 [4.43e-01, 2.90e-01]
476 [4.43e-01, 2.90e-01]
477 [4.43e-01, 2.90e-01]
478 [4.43e-01, 2.90e-01]
479 [4.43e-01, 2.90e-01]
480 [4.43e-01, 2.90e-01]
481 [4.42e-01, 2.90e-01]
482 [4.42e-01, 2.89e-01]
483 [4.42e-01, 2.89e-01]
484 [4.42e-01, 2.89e-01]
485 [4.42e-01, 2.89e-01]
486 [4.42e-01, 2.89e-01]
487 [4.42e-01, 2.89e-01]
488 [4.42e-01, 2.89e-01]
489 [4.42e-01, 2.89e-01]
490 [4.42e-01, 2.89e-01]
491 [4.42e-01, 2.89e-01]
492 [4.42e-01, 2.89e-01]
493 [4.42e-01, 2.89e-01]
494 [4.42e-01, 2.89e-01]
495 [4.42e-01, 2.89e-01]
496 [4.42e-01, 2.89e-01]
497 [4.42e-01, 2.89e-01]
498 [4.42e-01, 2.89e-01]
499 [4.42e-01, 2.89e-01]
500 [4.42e-01, 2.89e-01]
501 [4.42e-01, 2.88e-01]
502 [4.42e-01, 2.88e-01]
503 [4.42e-01, 2.88e-01]
504 [4.42e-01, 2.88e-01]
505 [4.42e-01, 2.88e-01]
506 [4.41e-01, 2.88e-01]
507 [4.41e-01, 2.88e-01]
508 [4.41e-01, 2.88e-01]
509 [4.41e-01, 2.88e-01]
510 [4.41e-01, 2.88e-01]
511 [4.41e-01, 2.88e-01]
512 [4.41e-01, 2.88e-01]
513 [4.41e-01, 2.88e-01]
514 [4.41e-01, 2.88e-01]
515 [4.41e-01, 2.88e-01]
516 [4.41e-01, 2.88e-01]
517 [4.41e-01, 2.88e-01]
518 [4.41e-01, 2.88e-01]
519 [4.41e-01, 2.88e-01]
520 [4.41e-01, 2.88e-01]
521 [4.41e-01, 2.88e-01]
522 [4.41e-01, 2.87e-01]
523 [4.41e-01, 2.87e-01]
524 [4.41e-01, 2.87e-01]
525 [4.41e-01, 2.87e-01]
526 [4.41e-01, 2.87e-01]
527 [4.41e-01, 2.87e-01]
528 [4.41e-01, 2.87e-01]
529 [4.41e-01, 2.87e-01]
530 [4.41e-01, 2.87e-01]
531 [4.41e-01, 2.87e-01]
532 [4.41e-01, 2.87e-01]
533 [4.40e-01, 2.87e-01]
534 [4.40e-01, 2.87e-01]
535 [4.40e-01, 2.87e-01]
536 [4.40e-01, 2.87e-01]
537 [4.40e-01, 2.87e-01]
538 [4.40e-01, 2.87e-01]
539 [4.40e-01, 2.87e-01]
540 [4.40e-01, 2.87e-01]
541 [4.40e-01, 2.87e-01]
542 [4.40e-01, 2.87e-01]
543 [4.40e-01, 2.86e-01]
544 [4.40e-01, 2.86e-01]
545 [4.40e-01, 2.86e-01]
546 [4.40e-01, 2.86e-01]
547 [4.40e-01, 2.86e-01]
548 [4.40e-01, 2.86e-01]
549 [4.40e-01, 2.86e-01]
550 [4.40e-01, 2.86e-01]
551 [4.40e-01, 2.86e-01]
552 [4.40e-01, 2.86e-01]
553 [4.40e-01, 2.86e-01]
554 [4.40e-01, 2.86e-01]
555 [4.40e-01, 2.86e-01]
556 [4.40e-01, 2.86e-01]
557 [4.40e-01, 2.86e-01]
558 [4.40e-01, 2.86e-01]
559 [4.40e-01, 2.86e-01]
560 [4.39e-01, 2.86e-01]
561 [4.39e-01, 2.86e-01]
562 [4.39e-01, 2.86e-01]
563 [4.39e-01, 2.86e-01]
564 [4.39e-01, 2.86e-01]
565 [4.39e-01, 2.85e-01]
566 [4.39e-01, 2.85e-01]
567 [4.39e-01, 2.85e-01]
568 [4.39e-01, 2.85e-01]
569 [4.39e-01, 2.85e-01]
570 [4.39e-01, 2.85e-01]
571 [4.39e-01, 2.85e-01]
572 [4.39e-01, 2.85e-01]
573 [4.39e-01, 2.85e-01]
574 [4.39e-01, 2.85e-01]
575 [4.39e-01, 2.85e-01]
576 [4.39e-01, 2.85e-01]
577 [4.39e-01, 2.85e-01]
578 [4.39e-01, 2.85e-01]
