bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Aabenraa,,,33,17,52%,6%,21%,21%
Aabenraa,9010,"Aabenraa,Aabenraa",10339,1231,12%,9%,37%,42%
Aabenraa,9011,"Hjordkær,Aabenraa",1107,118,11%,12%,44%,33%
Aabenraa,9012,"Løjt,Aabenraa",2110,186,9%,10%,40%,41%
Aabenraa,9013,"Bjolderup,Aabenraa",985,116,12%,10%,45%,33%
Aabenraa,9014,"Rise,Aabenraa",4048,382,9%,8%,40%,42%
Aabenraa,9015,"Øster Løgum,Aabenraa",548,82,15%,12%,42%,30%
Aabenraa,9017,"Hellevad,Aabenraa",474,63,13%,10%,44%,33%
Aabenraa,9018,"Egvad,Aabenraa",226,31,14%,10%,50%,26%
Aabenraa,9021,"Varnæs,Aabenraa",799,136,17%,6%,44%,33%
Aabenraa,9022,"Ensted,Aabenraa",1473,150,10%,9%,45%,36%
Aabenraa,9023,"Felsted,Aabenraa",1312,181,14%,9%,42%,35%
Aabenraa,9024,"Holbøl,Aabenraa",849,124,15%,6%,47%,32%
Aabenraa,9026,"Uge,Aabenraa",302,61,20%,12%,42%,26%
Aabenraa,9027,"Kliplev,Aabenraa",1335,152,11%,9%,45%,35%
Aabenraa,9029,"Bov,Aabenraa",5300,834,16%,6%,40%,38%
Aabenraa,9056,"Burkal,Aabenraa",985,169,17%,9%,38%,36%
Aabenraa,9057,"Bylderup,Aabenraa",576,85,15%,9%,41%,35%
Aabenraa,9060,"Ravsted,Aabenraa",514,68,13%,9%,49%,29%
Aabenraa,9061,"Tinglev,Aabenraa",2155,268,12%,8%,41%,38%
Aabenraa,9260,"Genner,Aabenraa",590,59,10%,9%,41%,40%
Aalborg,,,133,84,63%,6%,8%,23%
Aalborg,8276,"Ejdrup,Aalborg",129,16,12%,15%,33%,40%
Aalborg,8318,"Gunderup,Aalborg",990,95,10%,23%,33%,34%
Aalborg,8319,"Nøvling,Aalborg",1407,78,6%,21%,33%,40%
Aalborg,8323,"Lillevorde,Aalborg",232,27,12%,25%,37%,26%
Aalborg,8324,"Mou,Aalborg",1762,135,8%,15%,32%,45%
Aalborg,8325,"Storvorde,Aalborg",1946,137,7%,25%,29%,39%
Aalborg,8326,"Sejlflod,Aalborg",399,63,16%,21%,26%,37%
Aalborg,8327,"Nibe,Aalborg",2785,174,6%,15%,29%,50%
Aalborg,8328,"Vokslev,Aalborg",1086,63,6%,25%,41%,28%
Aalborg,8329,"Sønderholm,Aalborg",990,83,8%,21%,34%,36%
Aalborg,8330,"Frejlev,Aalborg",2033,91,4%,27%,32%,37%
Aalborg,8331,"Nørholm,Aalborg",594,83,14%,16%,36%,34%
Aalborg,8332,"Ellidshøj,Aalborg",402,26,6%,22%,39%,33%
Aalborg,8333,"Svenstrup,Aalborg",3429,209,6%,21%,29%,44%
Aalborg,8342,"Bislev,Aalborg",409,35,9%,17%,37%,37%
Aalborg,8343,"S Kongerslev,Aalborg",905,92,10%,19%,32%,39%
Aalborg,8344,"N Kongerslev,Aalborg",295,34,12%,19%,35%,34%
Aalborg,8345,"Komdrup,Aalborg",93,<10,,,,
Aalborg,8356,"Sebber,Aalborg",540,43,8%,14%,33%,45%
Aalborg,8357,"St Ajstrup,Aalborg",121,19,16%,13%,31%,40%
Aalborg,8362,"Farstrup,Aalborg",575,79,14%,15%,31%,40%
Aalborg,8363,"Lundby,Aalborg",123,29,24%,22%,28%,26%
Aalborg,8364,"Domkirkens,Aalborg",3136,326,10%,21%,27%,42%
Aalborg,8365,"Ansgars,Aalborg",4148,355,9%,20%,27%,44%
Aalborg,8366,"Vor Frelsers,Aalborg",2521,332,13%,21%,25%,41%
Aalborg,8367,"Vesterkær,Aalborg",2152,202,9%,15%,27%,49%
Aalborg,8368,"Vor Frue,Aalborg",2766,314,11%,18%,26%,45%
Aalborg,8369,"Skt Markus,Aalborg",3965,463,12%,19%,27%,42%
Aalborg,8370,"S Tranders,Aalborg",6761,545,8%,21%,30%,41%
Aalborg,8371,"N Tranders,Aalborg",6830,1011,15%,19%,28%,38%
Aalborg,8372,"Vejgård,Aalborg",6966,691,10%,21%,30%,40%
Aalborg,8373,"Hans Egedes,Aalborg",4859,622,13%,18%,26%,43%
Aalborg,8374,"Hasseris,Aalborg",8028,374,5%,18%,31%,47%
Aalborg,8375,"Nørresundby,Aalborg",4444,457,10%,17%,27%,46%
Aalborg,8376,"Hvorup,Aalborg",3441,331,10%,17%,30%,43%
Aalborg,8377,"Lindholm,Aalborg",5840,649,11%,18%,28%,42%
Aalborg,8378,"Vadum,Aalborg",1953,150,8%,22%,28%,42%
Aalborg,8381,"Sulsted,Aalborg",2933,222,8%,23%,27%,42%
Aalborg,8382,"Ajstrup,Aalborg",1336,134,10%,21%,30%,38%
Aalborg,8383,"Horsens,Aalborg",772,78,10%,24%,32%,34%
Aalborg,8384,"Hammer,Aalborg",707,55,8%,19%,32%,41%
Aalborg,8385,"Vester Hassing,Aalbo",2055,124,6%,21%,31%,42%
Aalborg,8386,"Ulsted,Aalborg",842,103,12%,20%,31%,36%
Aalborg,8387,"Hals,Aalborg",2739,212,8%,11%,27%,54%
Aalborg,8388,"Ferslev,Aalborg",570,38,7%,21%,38%,34%
Aalborg,8389,"Dall,Aalborg",779,65,8%,17%,31%,44%
Aalborg,8390,"Volsted,Aalborg",133,12,9%,24%,41%,26%
Aalborg,9076,"Skalborg,Aalborg",4724,477,10%,19%,27%,44%
Aalborg,9107,"Godthåb,Aalborg",1241,71,6%,27%,32%,36%
Aalborg,9110,"Margrethe,Aalborg",1908,164,9%,20%,30%,42%
Aalborg,9136,"Vodskov,Aalborg",3219,229,7%,18%,25%,49%
Aalborg,9157,"Gistrup,Aalborg",2528,112,4%,18%,33%,44%
Aalborg,9187,"Romdrup-Klarup,Aalbo",2922,148,5%,22%,28%,45%
Aalborg,9197,Øster Hassing-Gåser,1541,132,9%,19%,34%,39%
Aalborg,9225,"Hou,Aalborg",909,76,8%,11%,32%,48%
Aalborg,9232,"Gudumholm,Aalborg",670,81,12%,23%,35%,29%
Aalborg,9237,"Rørdal,Aalborg",164,23,14%,21%,34%,32%
Aarhus,,,313,219,70%,3%,16%,12%
Aarhus,8036,"Vitved,Aarhus",420,25,6%,14%,25%,55%
Aarhus,8065,"Fårup,Aarhus",466,70,15%,12%,44%,29%
Aarhus,8066,"Sabro,Aarhus",1827,154,8%,14%,36%,42%
Aarhus,8068,"Spørring,Aarhus",660,67,10%,14%,34%,42%
Aarhus,8071,"Trige,Aarhus",1873,261,14%,12%,35%,39%
Aarhus,8072,"Ølsted,Aarhus",111,<10,,,,
Aarhus,8073,"Elsted,Aarhus",2937,161,5%,15%,41%,39%
Aarhus,8074,"Elev,Aarhus",781,31,4%,14%,38%,43%
Aarhus,8079,"Borum,Aarhus",306,24,8%,13%,44%,35%
Aarhus,8080,"Lyngby,Aarhus",113,<10,,,,
Aarhus,8081,"Harlev,Aarhus",695,69,10%,15%,36%,39%
Aarhus,8082,"Framlev,Aarhus",2253,178,8%,13%,33%,46%
Aarhus,8100,"Viby,Aarhus",4303,583,14%,14%,33%,40%
Aarhus,8101,"Fredens,Aarhus",4092,402,10%,13%,39%,38%
Aarhus,8102,"Holme,Aarhus",6133,585,10%,12%,35%,44%
Aarhus,8103,"Tranbjerg,Aarhus",5793,403,7%,11%,35%,47%
Aarhus,8104,"Skåde,Aarhus",6458,507,8%,11%,37%,44%
Aarhus,8105,"Mårslet,Aarhus",3423,200,6%,15%,37%,43%
Aarhus,8106,"Tiset,Aarhus",1499,109,7%,14%,38%,41%
Aarhus,8107,"Ormslev,Aarhus",3285,204,6%,13%,36%,44%
Aarhus,8108,"Kolt,Aarhus",4091,336,8%,11%,40%,40%
Aarhus,8109,"Beder,Aarhus",2990,175,6%,12%,35%,48%
Aarhus,8110,"Malling,Aarhus",3527,300,9%,12%,36%,44%
Aarhus,8111,"Astrup,Aarhus",946,51,5%,14%,40%,40%
Aarhus,8112,"Tulstrup,Aarhus",116,13,11%,11%,45%,33%
Aarhus,8113,"Hvilsted,Aarhus",237,28,12%,9%,39%,40%
Aarhus,8114,"Domkirkens,Aarhus",5387,452,8%,15%,34%,43%
Aarhus,8115,"Vor Frue,Aarhus",5081,389,8%,19%,25%,48%
Aarhus,8116,"Skt Markus,Aarhus",3684,375,10%,12%,30%,48%
Aarhus,8117,"Møllevang,Aarhus",4061,708,17%,12%,32%,39%
Aarhus,8118,"Skt Pauls,Aarhus",4515,356,8%,14%,33%,45%
Aarhus,8119,"Langenæs,Aarhus",2935,294,10%,11%,27%,52%
Aarhus,8120,"Skt Johannes,Aarhus",4778,375,8%,12%,31%,49%
Aarhus,8121,"Christians,Aarhus",6594,800,12%,14%,30%,43%
Aarhus,8122,"Åby,Aarhus",6210,596,10%,13%,36%,41%
Aarhus,8123,"Vejlby,Aarhus",4482,522,12%,14%,30%,45%
Aarhus,8124,"Risskov,Aarhus",5085,223,4%,11%,35%,50%
Aarhus,8125,"Hasle,Aarhus",3484,607,17%,12%,34%,37%
Aarhus,8126,"Skejby,Aarhus",382,47,12%,12%,30%,46%
Aarhus,8127,"Lisbjerg,Aarhus",632,75,12%,13%,34%,41%
Aarhus,8128,"Brabrand,Aarhus",4311,341,8%,13%,35%,44%
Aarhus,8129,"Sønder Årslev,Aarhus",617,37,6%,10%,35%,49%
Aarhus,8130,"Tilst,Aarhus",4959,736,15%,13%,34%,38%
Aarhus,8131,"Kasted,Aarhus",118,10,8%,12%,37%,42%
Aarhus,8132,"Skt Lukas,Aarhus",4297,360,8%,13%,33%,46%
Aarhus,8246,"Skødstrup,Aarhus",5280,357,7%,16%,36%,41%
Aarhus,8247,"Todbjerg,Aarhus",856,87,10%,13%,40%,37%
Aarhus,8248,"Mejlby,Aarhus",335,32,10%,13%,41%,37%
Aarhus,8249,"Hjortshøj,Aarhus",2332,172,7%,13%,38%,42%
Aarhus,8250,"Egå,Aarhus",3291,198,6%,10%,33%,51%
Aarhus,9088,"Ellevang,Aarhus",5680,400,7%,13%,34%,47%
Aarhus,9090,"Helligånds,Aarhus",3797,794,21%,14%,30%,35%
Aarhus,9096,"Ravnsbjerg,Aarhus",4282,968,23%,12%,28%,38%
Aarhus,9097,"Gellerup,Aarhus",4525,1712,38%,12%,28%,22%
Aarhus,9135,"Skjoldhøj,Aarhus",3952,484,12%,13%,34%,41%
Aarhus,9146,"Lystrup,Aarhus",3255,270,8%,11%,34%,46%
Aarhus,9147,"Skelager,Aarhus",2770,297,11%,17%,30%,42%
Aarhus,9158,"Skæring,Aarhus",3793,226,6%,10%,36%,49%
Albertslund,,,40,26,65%,5%,10%,20%
Albertslund,7148,"Herstedøster,Alblund",6051,844,14%,10%,36%,40%
Albertslund,7155,"Herstedvest,Alblund",5627,968,17%,8%,35%,40%
Albertslund,9134,"Opstandelsesk.,Alb.",5727,1367,24%,8%,30%,38%
Allerød,,,21,10,48%,19%,14%,19%
Allerød,7425,"Lynge,Allerød",1975,141,7%,10%,47%,36%
Allerød,7426,"Uggeløse,Allerød",1761,141,8%,9%,41%,42%
Allerød,7449,"Blovstrød,Allerød",2096,147,7%,11%,37%,45%
Allerød,7450,"Lillerød,Allerød",7292,508,7%,10%,38%,45%
Allerød,9155,"Engholm,Allerød",4277,199,5%,12%,43%,41%
Assens,7760,"Jordløse,Assens",445,48,11%,14%,34%,41%
Assens,7793,"Verninge,Assens",1000,96,10%,12%,35%,43%
Assens,7794,"Tommerup,Assens",1199,94,8%,11%,40%,41%
Assens,7795,"Brylle,Assens",991,52,5%,10%,34%,51%
Assens,7796,"Vissenbjerg,Assens",3515,300,9%,11%,36%,45%
Assens,7801,"Assens,Assens",3987,427,11%,10%,29%,50%
Assens,7802,"Bågø,Assens",27,<10,,,,
Assens,7803,"Kærum,Assens",642,46,7%,13%,35%,45%
Assens,7804,"Gamtofte,Assens",587,52,9%,13%,36%,42%
Assens,7805,"Søby,Assens",147,22,15%,14%,39%,32%
Assens,7806,"Turup,Assens",342,41,12%,14%,37%,37%
Assens,7807,"Barløse,Assens",270,45,17%,14%,33%,36%
Assens,7808,"Sandager,Assens",174,25,14%,10%,33%,43%
Assens,7809,"Holevad,Assens",115,14,12%,17%,41%,30%
Assens,7811,"Kerte,Assens",414,41,10%,11%,37%,42%
Assens,7812,"Skydebjerg,Assens",558,31,6%,17%,39%,38%
Assens,7813,"Ørsted,Assens",307,36,12%,15%,36%,37%
Assens,7814,"Orte,Assens",471,38,8%,10%,41%,41%
Assens,7815,"Søllested,Assens",167,21,13%,14%,40%,34%
Assens,7816,"Vedtofte,Assens",122,17,14%,12%,43%,30%
Assens,7817,"Glamsbjerg,Assens",2297,203,9%,13%,34%,45%
Assens,7818,"Flemløse,Assens",637,76,12%,10%,35%,43%
Assens,7819,"Hårby,Assens",2156,128,6%,10%,32%,52%
Assens,7820,"Dreslette,Assens",555,69,12%,8%,34%,45%
Assens,7821,"Sønderby,Assens",634,72,11%,11%,31%,47%
Assens,7822,"Helnæs,Assens",185,16,9%,5%,37%,49%
Assens,7833,"Rørup,Assens",418,47,11%,12%,32%,44%
Assens,9075,"Årup,Assens",1562,93,6%,10%,28%,56%
Assens,9118,"Broholm,Assens",1574,96,6%,12%,36%,45%
Assens,9251,"Paddesø,Nordfyns",122,22,18%,9%,39%,34%
Ballerup,7187,"Ballerup,Ballerup",9746,1127,12%,9%,37%,42%
Ballerup,7188,"Måløv,Ballerup",5899,518,9%,10%,43%,38%
Ballerup,7189,"Skovlunde,Ballerup",8639,965,11%,10%,35%,43%
Ballerup,9089,"Pederstrup,Ballerup",7949,1334,17%,10%,33%,40%
Billund,7979,"S Omme,Billund",1392,126,9%,12%,32%,47%
Billund,7981,"Filskov,Billund",573,50,9%,14%,33%,45%
Billund,8942,"Grindsted,Billund",6190,563,9%,8%,37%,46%
Billund,8943,"Grene,Billund",3904,310,8%,17%,35%,40%
Billund,8944,"Vorbasse,Billund",1090,127,12%,14%,35%,39%
Billund,8945,"Hejnsvig,Billund",959,109,11%,12%,39%,38%
Billund,9114,"Stenderup,Billund",539,66,12%,6%,43%,39%
Billund,9265,"Urup,Billund",125,24,19%,11%,41%,29%
Billund,9266,"Nollund,Billund",165,19,12%,14%,49%,25%
Billund,9267,"Vesterhede,Billund",223,29,13%,7%,43%,36%
Billund,9270,"Skjoldbjerg,Billund",173,22,13%,15%,39%,33%
Bornholm,,,34,24,71%,0%,24%,6%
Bornholm,7552,"Rønne,Bornholm",8652,824,10%,3%,38%,50%
Bornholm,7553,"Knudsker,Bornholm",1913,133,7%,2%,43%,48%
Bornholm,7554,"Vestermarie,Bornholm",932,119,13%,4%,45%,39%
Bornholm,7555,"Nylarsker,Bornholm",618,79,13%,2%,35%,50%
Bornholm,7556,"Nyker,Bornholm",1133,116,10%,3%,42%,45%
Bornholm,7557,"Hasle,Bornholm",1333,121,9%,2%,39%,50%
Bornholm,7558,"Rutsker,Bornholm",420,53,13%,1%,38%,48%
Bornholm,7559,"Olsker,Bornholm",969,100,10%,2%,33%,54%
Bornholm,7560,"Allinge-Sdv,Bornholm",1213,90,7%,2%,36%,55%
Bornholm,7561,"Klemensker,Bornholm",1120,177,16%,2%,43%,39%
Bornholm,7562,"Rø,Bornholm",312,47,15%,1%,34%,50%
Bornholm,7563,"Ibsker,Bornholm",809,75,9%,3%,37%,50%
Bornholm,7564,"Svaneke,Bornholm",800,60,8%,3%,35%,54%
Bornholm,7565,"Østerlarskr,Bornholm",607,83,14%,2%,45%,38%
Bornholm,7566,"Gudhjem,Bornholm",604,71,12%,1%,32%,55%
Bornholm,7567,"Østermarie,Bornholm",1013,131,13%,3%,41%,43%
Bornholm,7569,"Aaker,Bornholm",2370,273,12%,3%,37%,48%
Bornholm,7570,"Bodilsker,Bornholm",615,75,12%,3%,44%,41%
Bornholm,7571,"Nexø,Bornholm",2740,302,11%,3%,37%,49%
Bornholm,7572,"Poulsker,Bornholm",850,70,8%,2%,39%,50%
Bornholm,7573,"Pedersker,Bornholm",450,64,14%,2%,41%,43%
Brøndby,,,93,65,70%,10%,8%,13%
Brøndby,7144,"Brøndbyvester,Brøndb",5910,706,12%,7%,38%,43%
Brøndby,7145,"Brøndbyøster,Brøndby",3761,495,13%,7%,33%,47%
Brøndby,9084,"Brøndby Str,Brøndby",8880,2142,24%,8%,32%,36%
Brøndby,9115,"Nygårds,Brøndby",4004,727,18%,7%,30%,45%
Brønderslev,,,25,15,60%,8%,12%,20%
Brønderslev,8402,"Brønderslev,Brønd.",8347,698,8%,18%,29%,44%
Brønderslev,8403,"Serritslev,Brønd.",538,45,8%,23%,35%,34%
Brønderslev,8411,"Thise,Brønderslev",572,46,8%,22%,33%,37%
Brønderslev,8412,"Tolstrup,Brønderslev",187,17,9%,18%,40%,33%
Brønderslev,8413,"Stenum,Brønderslev",255,31,12%,24%,32%,32%
Brønderslev,8416,"Jerslev,Brønderslev",1086,114,10%,20%,36%,33%
Brønderslev,8417,"Hellum,Brønderslev",208,20,10%,15%,37%,38%
Brønderslev,8418,"Ø Brønderslev,Brønd.",1006,94,9%,21%,35%,35%
Brønderslev,8419,"Hallund,Brønderslev",411,51,12%,22%,39%,27%
Brønderslev,8427,"Hjallerup,Brønd.",2602,156,6%,18%,30%,45%
Brønderslev,8448,"Voer,Brønderslev",670,77,11%,16%,38%,35%
Brønderslev,8449,"Hellevad,Brønderslev",908,81,9%,16%,39%,36%
Brønderslev,8450,"Ørum,Brønderslev",450,44,10%,18%,36%,36%
Brønderslev,8451,"Dronninglund,Brønd.",3141,303,10%,16%,31%,43%
Brønderslev,8452,"Asaa,Brønderslev",1045,108,10%,14%,33%,43%
Brønderslev,9156,"Agersted,Brønderslev",522,77,15%,13%,35%,37%
Brønderslev,9220,"Mylund,Brønderslev",156,25,16%,16%,33%,35%
Brønderslev,9221,"Ø Hjermits,Brøndersl",268,29,11%,20%,32%,37%
Brønderslev,9223,"Melholt,Brønderslev",298,47,16%,9%,34%,41%
Brønderslev,9224,"Dorf,Brønderslev",236,32,14%,10%,44%,33%
Christiansø,7568,"Christiansø,Bornholm",66,<10,,,,
Dragør,7192,"St Magleby,Dragør",6781,516,8%,8%,42%,42%
Dragør,7193,"Dragør,Dragør",3294,261,8%,5%,36%,51%
Egedal,,,31,15,48%,6%,35%,10%
Egedal,7185,"Ledøje,Egedal",677,43,6%,7%,43%,44%
Egedal,7186,"Smørum,Egedal",6986,490,7%,10%,45%,38%
Egedal,7409,"Ølstykke,Egedal",10133,854,8%,10%,41%,41%
Egedal,7410,"Stenløse,Egedal",5106,444,9%,10%,41%,41%
Egedal,7411,"Veksø,Egedal",1358,116,9%,9%,48%,35%
Egedal,7412,"Slagslunde,Egedal",1131,97,9%,7%,39%,45%
Egedal,7413,"Ganløse,Egedal",2502,217,9%,9%,41%,41%
Egedal,7427,"Jørlunde,Egedal",1102,96,9%,12%,41%,38%
Esbjerg,,,39,19,49%,5%,38%,8%
Esbjerg,8886,"Domkirkens,Esbjerg",2411,161,7%,8%,33%,52%
Esbjerg,8887,"Seem,Esbjerg",365,34,9%,12%,40%,39%
Esbjerg,8888,"Skt Katharine,Esbjer",4112,300,7%,9%,34%,49%
Esbjerg,8889,"Obbekjær,Esbjerg",122,10,8%,20%,35%,37%
Esbjerg,8890,"Hjortlund,Esbjerg",152,18,12%,7%,45%,36%
Esbjerg,8891,"Kalvslund,Esbjerg",137,17,12%,13%,36%,38%
Esbjerg,8892,"Vester Vedsted,Esbje",724,65,9%,10%,42%,39%
Esbjerg,8893,"Farup,Esbjerg",417,43,10%,10%,41%,38%
Esbjerg,8894,"Mandø,Esbjerg",32,<10,,,,
Esbjerg,8895,"Gørding,Esbjerg",1456,137,9%,6%,43%,42%
Esbjerg,8896,"Vejrup,Esbjerg",630,54,9%,5%,43%,43%
Esbjerg,8899,"Darum,Esbjerg",700,36,5%,5%,48%,42%
Esbjerg,8900,"Bramming,Esbjerg",4473,297,7%,4%,43%,47%
Esbjerg,8901,"Vilslev,Esbjerg",380,22,6%,7%,43%,43%
Esbjerg,8902,"Hunderup,Esbjerg",414,37,9%,5%,42%,44%
Esbjerg,8903,"Jernved,Esbjerg",995,71,7%,6%,42%,45%
Esbjerg,8905,"Vor Frelsers,Esbjerg",3071,251,8%,3%,43%,46%
Esbjerg,8906,"Zions,Esbjerg",3329,322,10%,3%,40%,47%
Esbjerg,8907,"Treenigheds,Esbjerg",4230,379,9%,2%,39%,50%
Esbjerg,8908,"Jerne,Esbjerg",5517,866,16%,4%,39%,41%
Esbjerg,8909,"Skads,Esbjerg",1174,70,6%,3%,47%,45%
Esbjerg,8912,"Grimstrup,Esbjerg",355,37,10%,5%,49%,35%
Esbjerg,8913,"V Nykirke,Esbjerg",320,33,10%,4%,50%,36%
Esbjerg,8916,"Sneum,Esbjerg",183,34,19%,3%,51%,27%
Esbjerg,8917,"Tjæreborg,Esbjerg",1828,104,6%,5%,41%,49%
Esbjerg,8918,"Bryndum,Esbjerg",1519,111,7%,4%,47%,42%
Esbjerg,8919,"V Nebel,Esbjerg",469,46,10%,4%,50%,36%
Esbjerg,8921,"Hostrup,Esbjerg",214,21,10%,7%,49%,35%
Esbjerg,8922,"Guldager,Esbjerg",2929,200,7%,5%,50%,38%
Esbjerg,9030,"Hviding,Esbjerg",424,44,10%,11%,41%,38%
Esbjerg,9034,"Roager,Esbjerg",327,43,13%,16%,41%,30%
Esbjerg,9035,"Spandet,Esbjerg",228,41,18%,7%,36%,39%
Esbjerg,9073,"Grundtvigs,Esbjerg",4741,563,12%,3%,42%,43%
Esbjerg,9099,"Kvaglund,Esbjerg",2250,344,15%,3%,36%,46%
Esbjerg,9106,"Sædden,Esbjerg",6340,400,6%,3%,37%,53%
Esbjerg,9121,"Gjesing,Esbjerg",4659,364,8%,4%,40%,48%
Esbjerg,9138,"Hjerting,Esbjerg",4767,291,6%,3%,42%,49%
Faaborg-Midtfyn,,,32,18,56%,9%,22%,13%
Faaborg-Midtfyn,7688,"Kværndrup,Faab-Midtf",1371,133,10%,9%,36%,45%
Faaborg-Midtfyn,7695,"Faaborg,Faab-Midtfyn",4480,389,9%,8%,31%,52%
Faaborg-Midtfyn,7696,"Diernæs,Faab-Midtfyn",986,86,9%,7%,32%,52%
Faaborg-Midtfyn,7697,"Vester Åby,Faa-Midtf",843,82,10%,7%,35%,48%
Faaborg-Midtfyn,7698,"Åstrup,Faaborg-Midtf",326,38,12%,7%,34%,47%
Faaborg-Midtfyn,7701,"Heden,Faaborg-Midtfy",171,15,9%,18%,32%,42%
Faaborg-Midtfyn,7737,"Søllinge,Faa-Midtfyn",269,26,10%,12%,36%,43%
Faaborg-Midtfyn,7738,"Hellerup,Faa-Midtfyn",107,15,14%,13%,31%,42%
Faaborg-Midtfyn,7739,"Sdr.Højrup,Faa-Midtf",251,26,10%,12%,41%,37%
Faaborg-Midtfyn,7740,"Årslev,Faab-Midtf",1111,66,6%,12%,36%,46%
Faaborg-Midtfyn,7746,"Brahetborg,Faa-Midtf",1074,121,11%,8%,37%,44%
Faaborg-Midtfyn,7747,"Krarup,Faabo-Midtfyn",330,32,10%,11%,38%,41%
Faaborg-Midtfyn,7748,"Herringe,Faa-Midtfyn",221,26,12%,14%,40%,34%
Faaborg-Midtfyn,7749,"Gestelev,Faa-Midtfyn",247,24,10%,15%,36%,38%
Faaborg-Midtfyn,7750,"Espe,Faaborg-Midtfyn",529,41,8%,15%,33%,45%
Faaborg-Midtfyn,7751,"Vantinge,Faab-Midtfy",186,19,10%,15%,34%,41%
Faaborg-Midtfyn,7752,"Allested,Faa-Midtfyn",444,33,7%,11%,39%,42%
Faaborg-Midtfyn,7753,"Vejle,Faaborg-Midtfy",562,37,7%,10%,41%,43%
Faaborg-Midtfyn,7754,"N Broby,Faab-Midtfyn",1250,124,10%,10%,33%,46%
Faaborg-Midtfyn,7755,"S Broby,Faab-Midtfyn",835,83,10%,9%,30%,51%
Faaborg-Midtfyn,7756,"Hillerslev,Faa-Midtf",467,52,11%,14%,40%,35%
Faaborg-Midtfyn,7757,"Ø Hæsinge,Faab-Midtf",183,28,15%,8%,33%,44%
Faaborg-Midtfyn,7758,"V Hæsinge,Faab-Midtf",520,54,10%,11%,35%,44%
Faaborg-Midtfyn,7759,"Sandh-Lynde,Fa-Midtf",147,21,14%,7%,38%,40%
Faaborg-Midtfyn,7761,"Håstrup,Faab-Midtfyn",377,42,11%,11%,32%,46%
Faaborg-Midtfyn,7762,"Svanninge,Faab-Midtf",1295,118,9%,8%,37%,46%
Faaborg-Midtfyn,7763,"Horne,Faaborg-Midtfy",1387,96,7%,8%,38%,47%
Faaborg-Midtfyn,7764,"Lyø,Faaborg-Midtfyn",82,<10,,,,
Faaborg-Midtfyn,7765,"Avernakø,Faa-Midtfyn",91,<10,,,,
Faaborg-Midtfyn,7766,"Ringe,Faab-Midtfyn",4459,333,7%,13%,31%,49%
Faaborg-Midtfyn,7767,"Ryslinge,Faab-Midtf",1466,119,8%,11%,37%,43%
Faaborg-Midtfyn,7768,"Gislev,Faab-Midtfyn",1288,128,10%,12%,36%,42%
Faaborg-Midtfyn,7883,"Rolfsted,Faab-Midtf",1159,81,7%,12%,33%,48%
Faaborg-Midtfyn,7884,"S Nærå,Faab-Midtfyn",1576,71,5%,11%,38%,46%
Faaborg-Midtfyn,7885,"N Lyndelse,Faa-Midtf",1618,135,8%,10%,32%,50%
Faaborg-Midtfyn,7887,"N Søby,Faab-Midtfyn",616,35,6%,12%,39%,43%
Fanø,9313,"Fanø,Fanø",2486,180,7%,5%,35%,53%
Favrskov,8022,"Hammel,Favrskov",4640,317,7%,15%,32%,47%
Favrskov,8023,"Voldby,Favrskov",423,38,9%,17%,40%,34%
Favrskov,8024,"Søby,Favrskov",302,37,12%,13%,37%,37%
Favrskov,8025,"Skorup,Silkeborg",35,<10,,,,
Favrskov,8029,"Røgen,Favrskov",162,<10,,,,
Favrskov,8030,"Sporup,Favrskov",338,37,11%,15%,40%,34%
Favrskov,8060,"Lyngå,Favrskov",327,32,10%,19%,39%,31%
Favrskov,8061,"Vitten,Favrskov",165,16,10%,20%,41%,29%
Favrskov,8062,"Haldum,Favrskov",2654,122,5%,14%,38%,44%
Favrskov,8064,"Lading,Favrskov",673,66,10%,14%,41%,35%
Favrskov,8067,"Grundfør,Favrskov",2737,135,5%,13%,38%,44%
Favrskov,8069,"Søften,Favrskov",1857,74,4%,15%,39%,42%
Favrskov,8070,"Foldby,Favrskov",1042,94,9%,16%,40%,35%
Favrskov,8139,"Laurbjerg,Favrskov",631,43,7%,17%,40%,36%
Favrskov,8140,"Lerbjerg,Favrskov",72,11,15%,14%,44%,26%
Favrskov,8142,"Vissing,Favrskov",186,26,14%,19%,33%,34%
Favrskov,8143,"Voldum,Favrskov",554,55,10%,15%,36%,39%
Favrskov,8144,"Rud,Favrskov",197,30,15%,22%,38%,25%
Favrskov,8147,"Ødum,Favrskov",793,61,8%,17%,42%,33%
Favrskov,8148,"Hadbjerg,Favrskov",555,43,8%,22%,39%,31%
Favrskov,8486,"Hvorslev,Favrskov",230,37,16%,16%,46%,22%
Favrskov,8487,"Gerning,Favrskov",209,19,9%,18%,36%,37%
Favrskov,8488,"Vellev,Favrskov",321,32,10%,15%,42%,33%
Favrskov,8489,"Vejerslev,Favrskov",227,26,11%,20%,39%,30%
Favrskov,8490,"Aidt,Favrskov",424,40,9%,19%,40%,32%
Favrskov,8491,"Thorsø,Favrskov",1011,114,11%,14%,33%,42%
Favrskov,8492,"Houlbjerg,Favrskov",385,48,12%,17%,36%,35%
Favrskov,8493,"Granslev,Favrskov",235,16,7%,16%,41%,36%
